panel_count,shape_mode,value,source_signed_root_defect,finite_difference_step
320,0,-0.00029143097750026467,7.049160603962941e-09,2.4128603785580737e-05
320,1,-0.0006296056608396949,7.049160603962941e-09,1.1168108622119114e-05
320,2,-0.0009171345595655716,7.049160603962941e-09,7.665486834112496e-06
320,3,-0.001120636152244035,7.049160603962941e-09,6.2766927001391546e-06
320,4,-0.0012565042440937171,7.049160603962941e-09,5.5922719552575385e-06
320,5,-0.0013522930894765389,7.049160603962941e-09,5.202917619010324e-06
320,6,-0.0014195019253144378,7.049160603962941e-09,4.957618033758408e-06
320,7,-0.0014691385528467727,7.049160603962941e-09,4.790866697654775e-06
320,8,-0.0015077030864758855,7.049160603962941e-09,4.670684175188181e-06
320,9,-0.0015390530453575275,7.049160603962941e-09,4.5799826530095e-06
320,10,-0.0015623047858669594,7.049160603962941e-09,4.508956949523707e-06
320,11,-0.0015832569258639666,7.049160603962941e-09,4.451647344999197e-06
320,12,-0.16660933060814323,7.049160603962941e-09,4.404255700641367e-06
320,13,-0.14604142626857117,7.049160603962941e-09,4.364263619050564e-06
320,14,0.03445196002834327,7.049160603962941e-09,4.329944128262593e-06
320,15,0.18299346403287609,7.049160603962941e-09,4.300078197866625e-06
