cycle_id,start_iteration,end_iteration,state_count,minimum_iteration,minimum_pseudo_time,minimum_metric,final_metric
0,0,0,1,0,0.0,0.0028189429955974,0.0028189429955974
1,1,3,3,3,0.0009619107412746,0.002702237754135,0.002702237754135
2,4,5,2,5,0.0016034503845611,0.0026835042012911,0.0026835042012911
3,6,6,1,6,0.0019244034468354,0.0026875561185327,0.0026875561185327
4,7,7,1,7,0.0022454754336897,0.0025189394618898,0.0025189394618898
5,8,9,2,9,0.002887299673963,0.0024677973557651,0.0024677973557651
6,10,12,3,11,0.0035295924439911,0.002456853250302,0.0024634082288483
7,13,13,1,13,0.00417234072323,0.0024844341557799,0.0024844341557799
8,14,14,1,14,0.0044938838836831,0.0024094796278929,0.0024094796278929
9,15,16,2,16,0.0051364795787711,0.0023635556149163,0.0023635556149163
10,17,17,1,17,0.0052972215598872,0.0023575215963367,0.0023575215963367
