case,field,force_mode,old_real,old_imag,new_real,new_imag,change_abs,change_relative
fn167,radiation3,3,4984.073318102332,-3986.176908909565,4981.588216183993,-3970.7229563387186,15.652488032466534,0.002452579042541118
fn167,radiation3,5,-625.2773304782146,893.9042624028687,-624.4140691258239,882.5852936212276,11.35184013463439,0.01040605489489592
fn167,radiation5,3,-2095.1497637255725,-2961.639656812049,-2088.5619110013026,-2970.8666191756583,11.33739996543004,0.0031251412454487144
fn167,radiation5,5,1074.5457253990314,-360.38103961068134,1069.4151878387427,-352.9393500851189,9.038869323781554,0.007975229027220913
fn167,diffraction,3,-1220.0732907441904,1191.1015166066034,-1213.2005377535208,1187.452031492882,7.781611354085434,0.0045637777699602585
fn167,diffraction,5,494.0817844582314,-10.48546807412579,489.34610762868436,-7.998948724926266,5.3487768235226,0.010823254186942287
fn226,radiation3,3,6070.157656831169,-4506.3688984908,6066.887675397095,-4479.623449369708,26.94460664526589,0.0035640834913211548
fn226,radiation3,5,-257.1685107731205,836.5219251042744,-256.6583720040698,822.313980157951,14.217100307778763,0.016245148884931813
fn226,radiation5,3,-2031.9758346878914,-4578.429108238032,-2020.015504071113,-4589.606937877772,16.370503471722913,0.0032681620293274144
fn226,radiation5,5,987.5285649676209,-519.5413673377883,980.7790217607908,-512.432893361992,9.802384187810645,0.008784627339654159
fn226,diffraction,3,-1012.6226913619288,1321.2662545110104,-1004.7851073161982,1313.5400719457432,11.005526825451401,0.006611208894768768
fn226,diffraction,5,356.3432555744625,-72.28477405619797,352.3644129247835,-68.39951597796335,5.561152683157692,0.015294662076336734
fn282,radiation3,3,7193.2168098108705,-5124.942644743931,7188.969619903994,-5085.082020815673,40.08625652334097,0.0045386593235077315
fn282,radiation3,5,218.11330021911786,747.7421305479988,218.21753553310265,732.6870798871321,15.055411498924432,0.01932896508348089
fn282,radiation5,3,-2008.517838404383,-6153.814364861156,-1989.671093702022,-6164.766015230735,21.797670327204198,0.0033673211722902445
fn282,radiation5,5,928.8038384021349,-832.0737208634557,921.259554152173,-826.1737581309974,9.577357938837888,0.007680283933182571
fn282,diffraction,3,-875.5549312418563,1409.2989108705078,-867.9838567115004,1397.5991303806136,13.935782470170567,0.008399440359290302
fn282,diffraction,5,234.01068904480098,-87.13626974430002,231.19796030404757,-82.93809030446546,5.053330938906527,0.02023701783655762
