panel_index,mid_xi,mid_eta,panel_length,kinematic_residual_midpoint,kinematic_residual_left,kinematic_residual_right,kinematic_integral_panel_linear_exact
0,4.3661144197443775,0.4740370359336691,0.008278826173921464,0.6139965617486021,0.5686670630307606,0.6593260604664435,0.0031267197408823277
1,4.358502988233133,0.4699829940888012,0.008970293645082955,0.6638276618584735,0.5479203195954947,0.7797350041214524,0.003993084372487348
2,4.350430296289416,0.46529501575784976,0.00970485908363851,0.7666140611704622,0.5980813167140777,0.9351468056268466,0.005795401017560317
3,4.341981916523197,0.45977832319496426,0.010483950255122802,0.8836412705874932,0.7060986261172411,1.0611839150577462,0.008296254136546973
4,4.333252922393468,0.45326615254346964,0.011308937497699265,0.9996701534159911,0.8138252756459923,1.1855150311859908,0.011431675528042239
5,4.324413244901946,0.44554949707679825,0.012181126367872436,1.1346862223212377,0.8766484528017089,1.3927239918407666,0.015953710369342178
6,4.3158913292785135,0.4362507706770966,0.013101772925819348,1.27223718747969,0.956919431088016,1.5875549438713632,0.021640581223920905
7,4.308449513127165,0.4249510516868059,0.01407211623833877,1.3395503950870427,1.0861065959720007,1.5929941942020847,0.025552240332482535
8,4.3030198203596814,0.4115059936434038,0.015093188939127316,1.289120673401241,1.164427578551436,1.4138137682510452,0.025160570848403455
9,4.300514968338771,0.39618286878579445,0.016166055982543948,1.1456389895599033,1.1592191005248855,1.132058878594921,0.02121875948831313
10,4.301612425367877,0.37959732498509813,0.017291643802550275,0.9607593328584425,1.1049685498421429,0.8165501158747412,0.016081066110115155
11,4.306456866144149,0.3624721290816916,0.018470648661524775,0.754916654041577,0.9715979910369743,0.5382353170461789,0.010815477644335244
12,4.314767944755303,0.345357082262986,0.019703907643530232,0.5640887397756482,0.7866419021639568,0.34153557738733964,0.0065950176165496125
13,4.3262900583663395,0.32864953635616967,0.020992019229506442,0.4458774653749251,0.6530962656676,0.2386586650822493,0.0044738175538704015
14,4.3408402549175875,0.3126570547313203,0.0223354239628813,0.3816656081513061,0.5742816949007938,0.1890495214018184,0.003529792620180104
15,4.358122400331543,0.29746976859057955,0.02373451858177003,0.3171428877721265,0.49028768710029924,0.1439980884439538,0.002624388658210876
16,4.377824987666152,0.28300247532907885,0.025189517755194558,0.252680003056414,0.4029872832966923,0.10237272281613707,0.0017979759736699167
17,4.3997672685896365,0.2691837870388015,0.026700520015495624,0.20634458981174975,0.33624812963278217,0.07644104999071732,0.0012870469364781847
18,4.423866106147051,0.25599279820282556,0.028267477595791277,0.17665245322344791,0.28988341447943133,0.06342149196746538,0.0010029255660629866
19,4.4500649669571155,0.24339504890830327,0.02989021125668371,0.1525398193787746,0.2517794054664768,0.05330023329107103,0.0007936218233620065
20,4.478320336860573,0.2313317264025439,0.03156838353865316,0.13113987108542302,0.21847232723224885,0.04380741493859808,0.0006231594202794092
21,4.508609052702742,0.21974317683904568,0.033301521361632815,0.1113452880369723,0.18858709840347654,0.03410347767046806,0.0004790936333064725
22,4.540925161308353,0.2085755469341331,0.035088999159965696,0.09308499194045483,0.1617190624414313,0.024450921439478135,0.0003591368749427994
