outer_panel_index,xi_mid,eta_mid,panel_length,arc_mid,normalized_arc_mid,s_nu,k_contribution,k_fraction,cumulative_k_fraction,s_nu_left,s_nu_right,k_contribution_linear_exact,k_contribution_endpoint_average,k_contribution_within_panel_slope,s_nu_weak_projected_left,s_nu_weak_projected_right,k_contribution_weak_projected,k_contribution_weak_projection_error,s_nu_endpoint_jump_to_next
0,4.550486624951795,-0.0374864043916752,0.0030244648775972,0.0015122324387986,9.580376208626358e-05,-0.0586847898463342,1.0415968381425147e-05,0.008239154458726668,0.008239154458726668,-0.1948522589396557,0.0774826792469869,2.9108753846150403e-05,1.0415968381425217e-05,1.8692785464725183e-05,-0.20153240330301905,0.09084296797371359,3.0809167920263756e-05,1.349647148860041e-07,0.0461531289539376
1,4.547595099285132,-0.0385621409058922,0.0031459193009219,0.00459742452805815,0.0002912585092048109,0.0413939613019902,5.390406986878537e-06,0.00426387582353769,0.01250303028226436,0.1236358082009245,-0.040847885596944,1.2483114200091882e-05,5.390406986878549e-06,7.092707213213332e-06,0.09084296797371359,0.005471062238159822,9.206412118901401e-06,1.7846647542269274e-06,0.0718781320502214
2,4.544572633020887,-0.0396389867931383,0.0032714411432044,0.0078061047501213,0.0004945365428711536,0.004238384599418,5.8767854679340865e-08,4.6486069674958316e-05,0.012549516351939316,0.0310302464532774,-0.0225534772544413,8.415188832050353e-07,5.876785467934224e-08,7.827510285256933e-07,0.005471062238159822,-0.02898397085216703,7.758004356194003e-07,9.367022729232533e-07,-0.0480303355787122
3,4.541427092068286,-0.0407507546743829,0.0034011318631119,0.01114239125327945,0.0007058987582288047,-0.0106924478231902,3.8884610167998083e-07,0.00030758187574075066,0.012857098227680068,-0.0705838128331535,0.049198917186773,4.45543843992687e-06,3.888461016799844e-07,4.0665923382468865e-06,-0.02898397085216703,0.00295438066989214,8.652130824235676e-07,2.2054510311071224e-06,-0.0672371042851884
4,4.538173316809712,-0.0419507506805461,0.0035350912661656,0.0146105028179182,0.0009256124257197852,-0.016373541795265,9.477327665151132e-07,0.0007496678525675372,0.013606766080247603,-0.0180381870984154,-0.0147088964921147,9.509980643119846e-07,9.477327665151191e-07,3.2652977968655314e-09,0.00295438066989214,-0.007733206920926317,5.3832390282350486e-08,7.491869223534632e-07,0.0050885978718130005
5,4.534800712357499,-0.0432220495916161,0.0036734221480467,0.018214759525024347,0.0011539512334362387,0.0058132031919093,1.2413717183893018e-07,9.819397442434434e-05,0.01370496005467195,-0.0096202986203017,0.0212467050041202,4.1579829236667315e-07,1.24137171838928e-07,2.916611205277452e-07,-0.007733206920926317,-0.016155533257587222,5.457944004045242e-07,1.6308856662639164e-06,-0.0855797124944625
6,4.53130982246622,-0.0445770212723823,0.0038162262859876,0.0219595837420415,0.0013911953495768861,-0.0201588452486145,1.5508343812297574e-06,0.001226728378865096,0.014931688433537047,-0.0643330074903423,0.0240153169931127,4.0331071770617695e-06,1.5508343812298044e-06,2.482272795831966e-06,-0.016155533257587222,-0.0021508333464099346,3.8209990949386923e-07,2.219920981571646e-06,-0.041181611788144806
7,4.5277050373626455,-0.0460387370524402,0.0039636080524123,0.025849500911241448,0.0016376314723923523,-0.0015610883022565,9.659299694047534e-09,7.64062055759619e-06,0.014939329054094643,-0.0171662947950321,0.0140441181905188,3.314018402858974e-07,9.659299694049399e-09,3.2174254059184794e-07,-0.0021508333464099346,-0.01198647024166685,2.2999820395333218e-07,6.767125097926591e-07,-0.061479510584892996
8,4.523980623804913,-0.0476028788611159,0.0041156713318709,0.02988914060338305,0.00189355289693713,-0.0130925361282232,7.05485752854742e-07,0.0005580475932095704,0.015497376647304214,-0.0474353923943742,0.0212503201379277,2.3235369363582996e-06,7.054857528547472e-07,1.6180511835035523e-06,-0.01198647024166685,-0.013970550937826875,6.946009664096655e-07,1.7129340730045966e-06,-0.07087142316521941
9,4.520140350028278,-0.0492885360479788,0.0042725209964649,0.03408323676755095,0.0021592595308974967,-0.0113649294046722,5.51845734981852e-07,0.0004365165178509232,0.015933893165155137,-0.0496211030272917,0.0268912442179469,2.6361734844985193e-06,5.518457349818717e-07,2.0843277495166476e-06,-0.013970550937826875,-0.010701670765529052,6.539951979941005e-07,1.9140622722410757e-06,-0.08404368494377279
