step,time_s,panels,newly_exposed,edge_extrapolated,relative_phi_eta_error,maximum_scaled_point_error
1,0.025,38,0,0,0.0002092574010916471,0.00021524185306661596
2,0.05,38,0,0,0.00041600615530487043,0.0004450586184970538
3,0.07500000000000001,38,0,0,0.000621997340131805,0.0006582123639636083
4,0.1,36,0,0,0.0008291717476538259,0.0007129211174502783
5,0.125,36,0,0,0.0010369816709576616,0.0008812431481455637
6,0.15000000000000002,36,0,0,0.0012443056355875134,0.000995651056671094
7,0.17500000000000002,36,0,0,0.0014513279399965679,0.001075205570062572
8,0.2,36,0,0,0.001658292859165271,0.00133662752074226
9,0.225,36,0,0,0.0018653228445854807,0.0015974398481113927
10,0.25,36,0,0,0.0020724477625053217,0.0018465450656598977
11,0.275,36,0,2,0.0022796542232908336,0.002074168155696982
12,0.30000000000000004,36,0,2,0.0024869095412740137,0.0023179077254089826
13,0.325,36,0,2,0.0026941640123433162,0.0025126827298848063
14,0.35000000000000003,36,0,2,0.002901351782846022,0.0026407626918982783
15,0.375,36,0,2,0.0031084180627308114,0.002681385389754655
16,0.4,36,0,2,0.003315400194642692,0.0026116657019177297
17,0.42500000000000004,38,2,2,0.0035236215682162082,0.003131908128648229
18,0.45,38,2,0,0.003737056248023896,0.0037348735895733364
19,0.47500000000000003,38,0,2,0.00395713193244463,0.004262048186366199
20,0.5,38,0,2,0.004186986371580977,0.004663810313837908
21,0.525,40,2,2,0.004435700970326631,0.0057103532666104625
22,0.55,40,2,0,0.004717515867774727,0.0058179595907402615
23,0.5750000000000001,40,0,2,0.0050213579023482575,0.007287787904559186
24,0.6000000000000001,40,0,2,0.00534148156708873,0.008663844206373662
25,0.625,40,0,2,0.005668660457584886,0.009863710773812305
26,0.65,42,2,2,0.006015086023741182,0.01478124401731572
27,0.675,42,0,2,0.00634465800255395,0.01527255649536196
28,0.7000000000000001,42,0,2,0.006642049863858846,0.01531938120667364
29,0.7250000000000001,42,0,2,0.006896480976187109,0.014923140239033957
30,0.75,42,0,2,0.0071025300046135,0.014117967503246683
31,0.775,42,0,0,0.007260795474100723,0.012966935491973707
32,0.8,42,0,0,0.007377780788513897,0.011554922890423109
33,0.8250000000000001,42,0,0,0.007464955072251378,0.01241560359418895
34,0.8500000000000001,42,0,0,0.007537025591231436,0.012996556184668358
35,0.875,40,0,0,0.007610011065033236,0.009112912415638292
36,0.9,40,0,0,0.007711138751568134,0.009263190738503901
37,0.925,40,0,0,0.007829092765516148,0.009275305712331936
38,0.9500000000000001,40,0,0,0.00796775622073824,0.009205971696336274
39,0.9750000000000001,40,0,0,0.00812740340077498,0.009107424948356847
40,1.0,38,0,0,0.008310193252729853,0.007090412391517057
