time_s,total_vertical_force_n,total_pitch_moment_nm,raw_bem_vertical_force_n,raw_bem_pitch_moment_nm,resolved_station_bem_vertical_force_n,resolved_station_bem_pitch_moment_nm,transom_extrapolation_vertical_force_n,transom_extrapolation_pitch_moment_nm,pre_chine_bem_vertical_force_n,pre_chine_bem_pitch_moment_nm,post_chine_bem_vertical_force_n,post_chine_bem_pitch_moment_nm,bem_vertical_force_n,bem_pitch_moment_nm,front_vertical_force_n,front_pitch_moment_nm,transom_vertical_force_n,transom_pitch_moment_nm,longitudinal_bin_aft_post_chine_vertical_force_n,longitudinal_bin_aft_post_chine_pitch_moment_nm,longitudinal_bin_middle_post_chine_vertical_force_n,longitudinal_bin_middle_post_chine_pitch_moment_nm,longitudinal_bin_forward_post_chine_vertical_force_n,longitudinal_bin_forward_post_chine_pitch_moment_nm,longitudinal_bin_pre_chine_vertical_force_n,longitudinal_bin_pre_chine_pitch_moment_nm,active_plane_count,potential_bvp_relative_residual,potential_bvp_condition_number,pressure_bvp_relative_residual,pressure_bvp_condition_number,free_surface_pressure_max_abs_pa,contact_constraint_max_abs_m,aftmost_resolved_station_x_m,foremost_resolved_station_x_m,transom_coverage_gap_m
0.0,104.9443001417537,-4.059426130667754,89.97605725031195,-12.611382024264081,89.976057250312,-12.611382024264103,-4.263256414560601e-14,2.1316282072803006e-14,9.613083508246223,3.3113876635055632,80.36297374206572,-15.922769687769645,89.97605725031195,-12.611382024264081,14.968242891441749,8.551955893596327,0.0,0.0,39.90579499997551,-14.496751484267783,24.67723027692206,-3.098628732216733,15.779948465168152,1.672610528714868,9.613083508246223,3.3113876635055632,7,6.89115660159727e-16,38.43622929365096,1.0143098781369337e-15,38.43622929365096,5.551115123125783e-14,6.938893903907228e-18,-2.220446049250313e-16,0.954,0.0
0.018007491655613262,121.42490906867228,0.46929902752369834,92.26306303601753,-14.87333032157279,74.49745765039991,-7.254809788539809,17.76560538561762,-7.6185205330329815,7.506509653560668,2.3497729712342768,84.75655338245687,-17.223103292807078,92.26306303601753,-14.87333032157279,29.16184603265475,15.34262934909649,0.0,0.0,43.55507668488959,-15.786363049287978,25.07779730184935,-3.1472545572950175,16.123679395717936,1.710514313775918,7.506509653560668,2.3497729712342768,6,6.875592762553609e-16,36.8866127319188,1.0664459965712578e-15,36.8866127319188,1.3877787807814457e-14,0.0,0.0794999999999999,0.8744999999999998,0.0794999999999999
0.036014983311226524,121.10421018500081,-3.1838668952001914,100.86496987687029,-15.05746770917905,100.86496987687029,-15.05746770917905,0.0,0.0,10.389595756972074,3.6062211089433696,90.47537411989822,-18.663688818122427,100.86496987687029,-15.05746770917905,20.239240308130523,11.87360081397886,0.0,0.0,47.502018072879906,-16.980713078803717,26.572265061599154,-3.424612267423372,16.401090985419152,1.74163652810467,10.389595756972074,3.6062211089433696,7,7.672872682859111e-16,38.459361205879695,9.753129671543465e-16,38.459361205879695,5.551115123125783e-14,0.0,0.0,0.954,0.0
0.05402247496683979,132.9461201481155,2.8807876040456044,97.85200329728909,-16.112773608124,78.14015482146515,-7.657293597012345,19.711848475823942,-8.455480011111657,8.151660071489971,2.5661790688271675,89.70034322579912,-18.67895267695117,97.85200329728909,-16.112773608124,35.09411685082643,18.993561212169606,0.0,0.0,47.32438833958561,-17.223246185880654,25.721693091706232,-3.2252494234169298,16.654261794507278,1.769542932346412,8.151660071489971,2.5661790688271675,6,7.983226962527467e-16,38.46390134725185,8.830129558453925e-16,38.46390134725185,5.551115123125783e-14,0.0,0.0794999999999999,0.8744999999999998,0.0794999999999999
0.07202996662245305,127.98181854016018,-0.028406441971505103,103.32292087618929,-14.847196567486101,103.32292087618933,-14.847196567486122,-4.263256414560601e-14,2.1316282072803006e-14,11.643299935166125,4.051459750488105,91.67962094102316,-18.898656317974204,103.32292087618929,-14.847196567486101,24.65889766397089,14.818790125514596,0.0,0.0,47.95283010944734,-17.266324980726587,26.834915340159064,-3.4348825273556542,16.89187549141675,1.8025511901080389,11.643299935166125,4.051459750488105,7,8.680433149279087e-16,38.388971758797005,1.2988736928645654e-15,38.388971758797005,8.673617379884035e-15,0.0,-2.220446049250313e-16,0.954,0.0
0.0900374582780663,136.95522390173284,6.459420670451543,98.14916415093728,-15.069087582329601,79.48578722780127,-7.065191888596011,18.663376923136013,-8.00389569373359,9.11123808804792,2.8641844520318154,89.03792606288937,-17.933272034361423,98.14916415093728,-15.069087582329601,38.80605975079554,21.528508252781144,0.0,0.0,45.593909356998275,-16.536773309829332,26.098109082856205,-3.270474889227401,17.345907623034886,1.8739761646953124,9.11123808804792,2.8641844520318154,6,8.073434596646829e-16,38.45584337612139,6.657256655721458e-16,38.45584337612139,1.3877787807814457e-14,0.0,0.0794999999999999,0.8744999999999999,0.0794999999999999
0.10804494993367958,130.04115649336063,3.1564522306556384,102.89740598383815,-13.48610504013297,102.89740598383818,-13.486105040132983,-2.842170943040401e-14,1.4210854715202004e-14,12.542394175464242,4.348417700708014,90.35501180837392,-17.83452274084098,102.89740598383815,-13.48610504013297,27.143750509522473,16.642557270788608,0.0,0.0,45.532964361377964,-16.388740147015096,26.809316795374986,-3.4091414430872984,18.01273065162096,1.9633588492614145,12.542394175464242,4.348417700708014,7,1.0317119872563163e-15,38.383078647471855,8.19787688477959e-16,38.383078647471855,2.7755575615628914e-14,6.938893903907228e-18,-2.220446049250313e-16,0.954,0.0
0.12605244158929282,142.4407449551394,7.430004897083187,103.0110476367868,-14.877671133569628,86.29819699666452,-7.720730475472891,16.712850640122284,-7.156940658096737,9.62128003698525,3.01873916590292,93.38976759980154,-17.896410299472546,103.0110476367868,-14.877671133569628,39.42969731835259,22.307676030652814,0.0,0.0,45.30612000143127,-16.1153704145294,29.30082654510681,-3.8210901207965406,18.782821053263476,2.040050235853391,9.62128003698525,3.01873916590292,6,8.340226696595965e-16,38.44753401190597,9.284853225915383e-16,38.44753401190597,2.7755575615628914e-14,0.0,0.0794999999999999,0.8744999999999999,0.0794999999999999
0.1440599332449061,132.85886057316245,3.5120178345113686,105.71791161678154,-13.37625380300333,105.71791161678156,-13.376253803003337,-2.842170943040401e-14,7.105427357601002e-15,12.796212156894086,4.418540235922585,92.92169945988745,-17.794794038925907,105.71791161678154,-13.37625380300333,27.140948956380914,16.8882716375147,0.0,0.0,45.90066814504566,-16.4000216704201,27.64334724367641,-3.490709338698693,19.377684071165376,2.095936970192886,12.796212156894086,4.418540235922585,7,7.43245275202735e-16,38.45102949957739,9.019223448245986e-16,38.45102949957739,2.7755575615628914e-14,0.0,-2.220446049250313e-16,0.954,0.0
0.16206742490051937,142.23370088872886,6.030789948523374,105.27513731723488,-15.15766865928213,87.50419823736749,-7.54301117789457,17.77093907986739,-7.61465748138756,9.678457845820871,3.0306462763466637,95.596679471414,-18.188314935628796,105.27513731723488,-15.15766865928213,36.958563571493976,21.188458607805504,0.0,0.0,46.20054524632741,-16.55947118072728,29.620196468278408,-3.7591941521842003,19.775937756808172,2.1303503972826867,9.678457845820871,3.0306462763466637,6,6.487344530460388e-16,38.38011778880227,9.426568500045918e-16,38.38011778880227,3.469446951953614e-15,0.0,0.0794999999999999,0.8744999999999998,0.0794999999999999
