case,omega,mode,original_real,original_imag,delta_real,delta_imag,candidate_real,candidate_imag,complex_relative_change
fn167,8.6966,3,-63.19167502445519,-5320.259336697041,-34.4074311061404,-51.086465380816264,-97.5991061305956,-5371.345802077858,0.011576251620100547
fn167,8.6966,5,1187.985376435965,-833.6634340209499,-21.581596604558822,-34.16172447225786,1166.4037798314062,-867.8251584932078,0.027842259273467142
fn226,10.4354,3,-727.2386745700165,-4702.139128877459,-68.25660823197019,-56.55705504601126,-795.4952828019867,-4758.696183923471,0.01863023129245667
fn226,10.4354,5,682.1003572928669,-482.69067859971307,-31.095793278288152,-27.838436640952334,651.0045640145787,-510.5291152406654,0.049946967205744354
fn282,12.10175,3,-1103.742056847012,-4218.406633822942,-100.17526445657403,-51.79067420708922,-1203.917321303586,-4270.197308030031,0.025862518860901317
fn282,12.10175,5,442.6456755551741,-183.93650274257902,-31.53944206504625,-18.77721549661845,411.1062334901278,-202.71371823919748,0.07657566951279188
