component,sigma,omega_rad_s,coefficient,value_dimensional,value_nondimensional,harmonic_fit_residual_nrmse,restoring_subtraction,restoring_matrices_sha256,target_identifier,beam_m,deadrise_deg,trim_deg,fn_b,mean_wetted_length_over_b,lcg_from_transom_m,rho_water_kg_m3,gravity_m_s2,matrix_coordinate_contract,response_calibration_used
bem,1.7,9.440515272820239,A33,-2.3493995267753642,-0.07305930171213187,0.019169953178664895,zero_component_decomposition,aaf16245eeacba4acfa7c0db2370c44209c3546374e46edf253a33ed8da62e8b,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
bem,1.7,9.440515272820239,A35,11.064363706788708,1.0819768370256877,0.034469028870620054,zero_component_decomposition,aaf16245eeacba4acfa7c0db2370c44209c3546374e46edf253a33ed8da62e8b,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
bem,1.7,9.440515272820239,A53,-6.127588809316012,-0.5992128724428913,0.04161467497033741,zero_component_decomposition,aaf16245eeacba4acfa7c0db2370c44209c3546374e46edf253a33ed8da62e8b,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
bem,1.7,9.440515272820239,A55,-0.9673077312962823,-0.2974603324640621,0.06972002484409183,zero_component_decomposition,aaf16245eeacba4acfa7c0db2370c44209c3546374e46edf253a33ed8da62e8b,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
bem,1.7,9.440515272820239,B33,353.1286499962214,1.9774468366021676,0.019169953178664895,zero_component_decomposition,aaf16245eeacba4acfa7c0db2370c44209c3546374e46edf253a33ed8da62e8b,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
bem,1.7,9.440515272820239,B35,-243.01343438723848,-4.279322580965507,0.034469028870620054,zero_component_decomposition,aaf16245eeacba4acfa7c0db2370c44209c3546374e46edf253a33ed8da62e8b,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
bem,1.7,9.440515272820239,B53,18.19379380643016,0.32038192812510424,0.04161467497033741,zero_component_decomposition,aaf16245eeacba4acfa7c0db2370c44209c3546374e46edf253a33ed8da62e8b,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
bem,1.7,9.440515272820239,B55,47.409177032668254,2.6253066510868646,0.06972002484409183,zero_component_decomposition,aaf16245eeacba4acfa7c0db2370c44209c3546374e46edf253a33ed8da62e8b,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
front,1.7,9.440515272820239,A33,-4.633522429138377,-0.14408869555063905,0.09402441935663328,zero_component_decomposition,aaf16245eeacba4acfa7c0db2370c44209c3546374e46edf253a33ed8da62e8b,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
front,1.7,9.440515272820239,A35,-1.0373700967770456,-0.10144373828268025,0.2005782320935954,zero_component_decomposition,aaf16245eeacba4acfa7c0db2370c44209c3546374e46edf253a33ed8da62e8b,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
