cycle_id,start_iteration,end_iteration,state_count,minimum_iteration,minimum_pseudo_time,minimum_metric,final_metric
0,0,0,1,0,0.0,0.0075437328605412,0.0075437328605412
1,1,1,1,1,0.0009703207419828,0.0062261445620428,0.0062261445620428
2,2,3,2,3,0.0029086804543813,0.0057245899643019,0.0057245899643019
3,4,5,2,5,0.0048445795838804,0.0053217526837843,0.0053217526837843
4,6,6,1,6,0.0058098688040121,0.0052366326800403,0.0052366326800403
5,7,8,2,8,0.007738279152821,0.005390704720126,0.005390704720126
6,9,10,2,10,0.0096647218569399,0.0052509852217842,0.0052509852217842
7,11,12,2,12,0.0115919188490266,0.0053438656137876,0.0053438656137876
8,13,14,2,14,0.0135190185876187,0.0051720906634668,0.0051720906634668
9,15,16,2,16,0.015446737321753,0.0052758991911691,0.0052758991911691
10,17,18,2,18,0.0173743538125646,0.0051165296957268,0.0051165296957268
11,19,21,3,21,0.0202654679900821,0.0051228144694148,0.0051228144694148
12,22,22,1,22,0.0212299267093414,0.0050901290418083,0.0050901290418083
13,23,25,3,25,0.0241206826143495,0.0051019139248539,0.0051019139248539
14,26,26,1,26,0.0250849515050751,0.0050809541134567,0.0050809541134567
15,27,29,3,29,0.0279751713883659,0.0050852454393827,0.0050852454393827
16,30,30,1,30,0.0289392543614659,0.0050686938623664,0.0050686938623664
17,31,32,2,32,0.0308663928196408,0.0051388534146366,0.0051388534146366
