case,frequency_index,omega,wavenumber,variant,old_dynamic_condition,new_dynamic_condition,q3_real,q3_imag,q5_real,q5_imag
fn167,0,16.734,3.2590219527589674,baseline,15.584408849293819,18.042050309443205,-0.028350967808796895,0.1824994759219122,-0.42269287676600614,-0.08726900922749714
fn167,0,16.734,3.2590219527589674,radiation_only,15.584408849293819,18.042050309443205,-0.05622900686051823,0.2432853683446181,-0.42455216536679113,-0.1356569484723226
fn167,0,16.734,3.2590219527589674,excitation_only,15.584408849293819,18.042050309443205,-0.030706809708661516,0.18725702630986515,-0.43569608764606677,-0.08016957793621163
fn167,0,16.734,3.2590219527589674,combined,15.584408849293819,18.042050309443205,-0.057208232351285776,0.24988872174502066,-0.4391077680447609,-0.12706747029389034
fn167,0,16.734,3.2590219527589674,radiation_increment,15.584408849293819,18.042050309443205,-0.02787803905172134,0.060785892422705885,-0.001859288600784903,-0.04838793924482541
fn167,0,16.734,3.2590219527589674,excitation_increment,15.584408849293819,18.042050309443205,-0.000979225490767536,0.006603353400402515,-0.01455560267796979,0.008589478178432237
fn167,1,13.7884,2.576885664439888,baseline,16.109835067067802,18.926948776476376,-0.03430286285033886,0.35969814439267916,-0.7202324521986103,0.029536166740980616
fn167,1,13.7884,2.576885664439888,radiation_only,16.109835067067802,18.926948776476376,-0.13299021694831067,0.5281978211081355,-0.723230282008335,-0.13359551932436564
fn167,1,13.7884,2.576885664439888,excitation_only,16.109835067067802,18.926948776476376,-0.033761713568056045,0.36654487697016197,-0.7318510734013123,0.04912955890859112
fn167,1,13.7884,2.576885664439888,combined,16.109835067067802,18.926948776476376,-0.12841343588561216,0.5393108846620218,-0.7382493655938096,-0.1117497523939826
fn167,1,13.7884,2.576885664439888,radiation_increment,16.109835067067802,18.926948776476376,-0.09868735409797179,0.16849967671545626,-0.002997829809724552,-0.16313168606534625
fn167,1,13.7884,2.576885664439888,excitation_increment,16.109835067067802,18.926948776476376,0.004576781062698507,0.011113063553886339,-0.015019083585474617,0.021845766930383037
